Id,Name,joinapi__Button_Label__c,joinapi__Description__c,joinapi__Display_Name__c,joinapi__Is_Default_Item__c,joinapi__Is_Marketing_Item_Group__c,joinapi__Is_Marketing_Item__c,joinapi__Is_Published__c,joinapi__Item_Badge_Types_Filter__c,joinapi__Item_Criteria__c,joinapi__Item_Group_Header__c,joinapi__Item_Group__c,joinapi__Item__c,joinapi__Next_Step__c,joinapi__Order__c,joinapi__Step__c,joinapi__Item_Group__r.Id,joinapi__Item__r.Id,joinapi__Next_Step__r.Id,joinapi__Step__r.Id
a1z4W00000AqsowQAB,000007,,,,false,true,false,false,,,Memberships,,,,0,a204W00000JMb7aQAD,,,,a204W00000JMb7aQAD
a1z4W00000AqsoxQAB,000008,,,,false,true,false,false,,,Memberships,,,,0,a204W00000JMb7bQAD,,,,a204W00000JMb7bQAD
a1z4W00000AqsoyQAB,000009,,"<p>Affiliation with a professional association is a boon to your resume. We know from over a decade of recent experience that employers and clients prefer to hire and retain candidates who demonstrate a tangible commitment to their personal development, who are involved in community activities and who advance their career through education. Members tell us that they prefer to work with employers and clients who value their professionalism ? they get the chance to do a better job, often at better rates. That rate increase alone more than pays the membership fee. For over a decade we have built a reputation for promoting professionalism in the networking industry. When you join, you buy a piece of that reputation and the opportunity to enhance it by getting involved. It is expected that, as a member, you will make efforts to enhance that reputation further, so that your Association is seen over time to contain the best people there are in Networking.</p>",Institutional Membership,false,false,true,true,,,Institutional Membership,a1z4W00000AqsoxQAB,a154W00000926QvQAI,,0,a204W00000JMb7bQAD,a1z4W00000AqsoxQAB,a154W00000926QvQAI,,a204W00000JMb7bQAD
a1z4W00000AqsozQAB,000010,,"Affiliation with a professional association is a boon to your resume. We know from over a decade of recent experience that employers and clients prefer to hire and retain candidates who demonstrate a tangible commitment to their personal development, who are involved in community activities and who advance their career through education. Members tell us that they prefer to work with employers and clients who value their professionalism ? they get the chance to do a better job, often at better rates. That rate increase alone more than pays the membership fee.  For over a decade we have built a reputation for promoting professionalism in the networking industry. When you join, you buy a piece of that reputation and the opportunity to enhance it by getting involved. It is expected that, as a member, you will make efforts to enhance that reputation further, so that your Association is seen over time to contain the best people there are in Networking.",Company Membership,false,false,true,true,,,Company Membership,a1z4W00000AqsoxQAB,a154W00000926RkQAI,,1,a204W00000JMb7bQAD,a1z4W00000AqsoxQAB,a154W00000926RkQAI,,a204W00000JMb7bQAD
a1z4W00000Aqsp0QAB,000011,,"Affiliation with a professional association is a boon to your resume. We know from over a decade of recent experience that employers and clients prefer to hire and retain candidates who demonstrate a tangible commitment to their personal development, who are involved in community activities and who advance their career through education. Members tell us that they prefer to work with employers and clients who value their professionalism ? they get the chance to do a better job, often at better rates. That rate increase alone more than pays the membership fee.  For over a decade we have built a reputation for promoting professionalism in the networking industry. When you join, you buy a piece of that reputation and the opportunity to enhance it by getting involved. It is expected that, as a member, you will make efforts to enhance that reputation further, so that your Association is seen over time to contain the best people there are in Networking.",Student Membership,false,false,true,true,,,Student Membership,a1z4W00000AqsoxQAB,a154W00000926RDQAY,,2,a204W00000JMb7bQAD,a1z4W00000AqsoxQAB,a154W00000926RDQAY,,a204W00000JMb7bQAD
a1z4W00000Aqsp1QAB,000012,,"Affiliation with a professional association is a boon to your resume. We know from over a decade of recent experience that employers and clients prefer to hire and retain candidates who demonstrate a tangible commitment to their personal development, who are involved in community activities and who advance their career through education. Members tell us that they prefer to work with employers and clients who value their professionalism ? they get the chance to do a better job, often at better rates. That rate increase alone more than pays the membership fee.  For over a decade we have built a reputation for promoting professionalism in the networking industry. When you join, you buy a piece of that reputation and the opportunity to enhance it by getting involved. It is expected that, as a member, you will make efforts to enhance that reputation further, so that your Association is seen over time to contain the best people there are in Networking.",Professional Membership,false,false,true,true,,,Professional Membership,a1z4W00000AqsoxQAB,a154W00000926R6QAI,,3,a204W00000JMb7bQAD,a1z4W00000AqsoxQAB,a154W00000926R6QAI,,a204W00000JMb7bQAD
a1z4W00000Aqsp2QAB,000013,,"Affiliation with a professional association is a boon to your resume. We know from over a decade of recent experience that employers and clients prefer to hire and retain candidates who demonstrate a tangible commitment to their personal development, who are involved in community activities and who advance their career through education. Members tell us that they prefer to work with employers and clients who value their professionalism ? they get the chance to do a better job, often at better rates. That rate increase alone more than pays the membership fee.  For over a decade we have built a reputation for promoting professionalism in the networking industry. When you join, you buy a piece of that reputation and the opportunity to enhance it by getting involved. It is expected that, as a member, you will make efforts to enhance that reputation further, so that your Association is seen over time to contain the best people there are in Networking.",Associate Membership,false,false,true,true,,,Associate Membership,a1z4W00000AqsoxQAB,a154W00000926QuQAI,,4,a204W00000JMb7bQAD,a1z4W00000AqsoxQAB,a154W00000926QuQAI,,a204W00000JMb7bQAD
a1z4W00000Aqsp3QAB,000017,,,,false,false,false,false,,,,,,,,a204W00000JMb7AQAT,,,,a204W00000JMb7AQAT
a1z4W00000Aqsp4QAB,000018,,,,false,true,false,true,,,Memberships,,,,1,a204W00000JMb7cQAD,,,,a204W00000JMb7cQAD
a1z4W00000Aqsp5QAB,000019,Select,"Affiliation with a professional association is a boon to your resume. We know from over a decade of recent experience that employers and clients prefer to hire and retain candidates who demonstrate a tangible commitment to their personal development, who are involved in community activities and who advance their career through education. Members tell us that they prefer to work with employers and clients who value their professionalism ? they get the chance to do a better job, often at better rates. That rate increase alone more than pays the membership fee.  For over a decade we have built a reputation for promoting professionalism in the networking industry. When you join, you buy a piece of that reputation and the opportunity to enhance it by getting involved. It is expected that, as a member, you will make efforts to enhance that reputation further, so that your Association is seen over time to contain the best people there are in Networking.",Institutional Membership,false,false,true,true,,,,,a154W00000926QvQAI,a204W00000JMb7AQAT,,a204W00000JMb7cQAD,,a154W00000926QvQAI,a204W00000JMb7AQAT,a204W00000JMb7cQAD
a1z4W00000Aqsp6QAB,000020,Select,"Affiliation with a professional association is a boon to your resume. We know from over a decade of recent experience that employers and clients prefer to hire and retain candidates who demonstrate a tangible commitment to their personal development, who are involved in community activities and who advance their career through education. Members tell us that they prefer to work with employers and clients who value their professionalism ? they get the chance to do a better job, often at better rates. That rate increase alone more than pays the membership fee.  For over a decade we have built a reputation for promoting professionalism in the networking industry. When you join, you buy a piece of that reputation and the opportunity to enhance it by getting involved. It is expected that, as a member, you will make efforts to enhance that reputation further, so that your Association is seen over time to contain the best people there are in Networking.",Company Membership,false,false,true,true,,,,,a154W00000926RkQAI,a204W00000JMb7BQAT,,a204W00000JMb7cQAD,,a154W00000926RkQAI,a204W00000JMb7BQAT,a204W00000JMb7cQAD
a1z4W00000Aqsp7QAB,000021,Select,"Affiliation with a professional association is a boon to your resume. We know from over a decade of recent experience that employers and clients prefer to hire and retain candidates who demonstrate a tangible commitment to their personal development, who are involved in community activities and who advance their career through education. Members tell us that they prefer to work with employers and clients who value their professionalism ? they get the chance to do a better job, often at better rates. That rate increase alone more than pays the membership fee.  For over a decade we have built a reputation for promoting professionalism in the networking industry. When you join, you buy a piece of that reputation and the opportunity to enhance it by getting involved. It is expected that, as a member, you will make efforts to enhance that reputation further, so that your Association is seen over time to contain the best people there are in Networking.",Associate Membership,false,false,true,true,,,,,a154W00000926QuQAI,a204W00000JMb7CQAT,,a204W00000JMb7cQAD,,a154W00000926QuQAI,a204W00000JMb7CQAT,a204W00000JMb7cQAD
a1z4W00000Aqsp8QAB,000022,Select,"Affiliation with a professional association is a boon to your resume. We know from over a decade of recent experience that employers and clients prefer to hire and retain candidates who demonstrate a tangible commitment to their personal development, who are involved in community activities and who advance their career through education. Members tell us that they prefer to work with employers and clients who value their professionalism ? they get the chance to do a better job, often at better rates. That rate increase alone more than pays the membership fee.  For over a decade we have built a reputation for promoting professionalism in the networking industry. When you join, you buy a piece of that reputation and the opportunity to enhance it by getting involved. It is expected that, as a member, you will make efforts to enhance that reputation further, so that your Association is seen over time to contain the best people there are in Networking.",Professional Membership,false,false,true,true,,,,,a154W00000926R6QAI,a204W00000JMb7DQAT,,a204W00000JMb7cQAD,,a154W00000926R6QAI,a204W00000JMb7DQAT,a204W00000JMb7cQAD
a1z4W00000Aqsp9QAB,000023,Select,"Affiliation with a professional association is a boon to your resume. We know from over a decade of recent experience that employers and clients prefer to hire and retain candidates who demonstrate a tangible commitment to their personal development, who are involved in community activities and who advance their career through education. Members tell us that they prefer to work with employers and clients who value their professionalism ? they get the chance to do a better job, often at better rates. That rate increase alone more than pays the membership fee.  For over a decade we have built a reputation for promoting professionalism in the networking industry. When you join, you buy a piece of that reputation and the opportunity to enhance it by getting involved. It is expected that, as a member, you will make efforts to enhance that reputation further, so that your Association is seen over time to contain the best people there are in Networking.",Student Membership,false,false,true,true,,,,,a154W00000926RDQAY,a204W00000JMb7EQAT,,a204W00000JMb7cQAD,,a154W00000926RDQAY,a204W00000JMb7EQAT,a204W00000JMb7cQAD
a1z4W00000AqspdQAB,000024,,,,false,true,false,false,,,Membership Types,,,,0,,,,,
a1z4W00000AqspAQAR,000025,Select,"<p>Affiliation with a professional association is a boon to your resume. We know from over a decade of recent experience that employers and clients prefer to hire and retain candidates who demonstrate a tangible commitment to their personal development, who are involved in community activities and who advance their career through education. Members tell us that they prefer to work with employers and clients who value their professionalism ? they get the chance to do a better job, often at better rates. That rate increase alone more than pays the membership fee.  For over a decade we have built a reputation for promoting professionalism in the networking industry. When you join, you buy a piece of that reputation and the opportunity to enhance it by getting involved. It is expected that, as a member, you will make efforts to enhance that reputation further, so that your Association is seen over time to contain the best people there are in Networking.</p>",Student Membership,false,false,true,true,,,Student Membership,a1z4W00000AqspdQAB,a154W00000926RDQAY,,0,,a1z4W00000AqspdQAB,a154W00000926RDQAY,,
a1z4W00000AqspBQAR,000026,,,,false,true,false,false,,,Memberships,,,,0,a204W00000JMb7FQAT,,,,a204W00000JMb7FQAT
a1z4W00000AqspCQAR,000027,Next,"<p>Affiliation with a professional association is a boon to your resume. We know from over a decade of recent experience that employers and clients prefer to hire and retain candidates who demonstrate a tangible commitment to their personal development, who are involved in community activities and who advance their career through education. Members tell us that they prefer to work with employers and clients who value their professionalism ? they get the chance to do a better job, often at better rates. That rate increase alone more than pays the membership fee.  For over a decade we have built a reputation for promoting professionalism in the networking industry. When you join, you buy a piece of that reputation and the opportunity to enhance it by getting involved. It is expected that, as a member, you will make efforts to enhance that reputation further, so that your Association is seen over time to contain the best people there are in Networking.</p>",Student Membership,false,false,true,true,,,Student Membership,a1z4W00000AqspBQAR,a154W00000926RDQAY,a204W00000JMb7HQAT,0,a204W00000JMb7FQAT,a1z4W00000AqspBQAR,a154W00000926RDQAY,a204W00000JMb7HQAT,a204W00000JMb7FQAT
